City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Lavrentiya,RU,2022-01-29 21:04:25,65.5833,-171.0,-3.82,83,3,4.07,clear sky
60,Nizhniy Kuranakh,RU,2022-01-29 21:04:26,58.8353,125.4869,-9.81,99,100,4.23,overcast clouds
61,Hilo,US,2022-01-29 20:59:29,19.7297,-155.09,77.11,59,29,5.01,scattered clouds
62,Clyde River,CA,2022-01-29 21:04:28,70.4692,-68.5914,-12.71,97,100,3.4,overcast clouds
63,Umm Kaddadah,SD,2022-01-29 21:04:28,13.6017,26.6876,57.61,18,6,13.82,clear sky
64,Bucerias,MX,2022-01-29 21:04:29,20.75,-105.3333,78.78,61,0,8.05,clear sky
65,Agadir,MA,2022-01-29 21:04:30,30.4202,-9.5982,72.05,33,0,22.55,clear sky
66,Plettenberg Bay,ZA,2022-01-29 20:56:17,-34.0527,23.3716,64.99,90,8,4.05,clear sky
67,Lata,PT,2022-01-29 21:04:33,40.1629,-8.3327,47.05,52,0,5.21,clear sky
68,Tieling,CN,2022-01-29 21:04:34,42.2931,123.8414,11.89,66,0,3.6,clear sky
69,Kuryk,KZ,2022-01-29 21:04:35,43.2,51.65,40.57,84,100,16.08,overcast clouds
70,Richards Bay,ZA,2022-01-29 21:04:35,-28.783,32.0377,71.89,83,61,3.22,broken clouds
71,Molo,KE,2022-01-29 21:04:36,-0.2479,35.7374,51.19,82,47,1.81,scattered clouds
72,Bluff,NZ,2022-01-29 21:03:51,-46.6,168.3333,58.39,88,100,6.85,overcast clouds
73,Margate,GB,2022-01-29 21:04:38,51.3813,1.3862,48.31,67,45,10.0,scattered clouds
74,Labuhan,ID,2022-01-29 21:04:39,-6.8844,112.2051,78.21,86,100,6.31,overcast clouds
75,Port Blair,IN,2022-01-29 21:04:40,11.6667,92.75,75.92,79,66,8.75,broken clouds
76,Yerbogachen,RU,2022-01-29 21:04:41,61.2767,108.0108,-21.59,100,85,3.29,overcast clouds
77,Georgetown,MY,2022-01-29 21:01:40,5.4112,100.3354,81.9,84,20,0.0,few clouds
78,Ostrovnoy,RU,2022-01-29 21:04:43,68.0531,39.5131,12.7,88,99,13.15,overcast clouds
79,Monzon,ES,2022-01-29 21:04:44,41.9108,0.1941,40.42,50,0,1.63,clear sky
80,Hithadhoo,MV,2022-01-29 21:04:45,-0.6,73.0833,80.87,67,89,3.11,overcast clouds
81,Pangnirtung,CA,2022-01-29 21:04:46,66.1451,-65.7125,-19.37,99,100,4.07,overcast clouds
82,Boa Vista,BR,2022-01-29 21:04:47,2.8197,-60.6733,89.58,43,40,10.36,scattered clouds
83,Sao Filipe,CV,2022-01-29 21:04:48,14.8961,-24.4956,71.11,71,100,13.0,overcast clouds
84,Manjacaze,MZ,2022-01-29 21:04:49,-24.7117,33.8828,72.72,85,100,4.09,overcast clouds
85,Sept-Iles,CA,2022-01-29 21:04:50,50.2001,-66.3821,5.05,63,100,5.99,overcast clouds
86,Vila Franca Do Campo,PT,2022-01-29 21:04:51,37.7167,-25.4333,59.2,74,58,8.97,broken clouds
87,Tasiilaq,GL,2022-01-29 21:04:51,65.6145,-37.6368,15.96,76,94,6.64,overcast clouds
88,Akyab,MM,2022-01-29 21:04:52,20.15,92.9,57.13,72,1,10.63,clear sky
89,Kitimat,CA,2022-01-29 21:04:54,54.0524,-128.6534,35.91,32,100,4.68,light rain
90,Kawalu,ID,2022-01-29 21:04:55,-7.3817,108.2082,72.84,96,100,1.48,overcast clouds
91,Padang,ID,2022-01-29 21:04:56,-0.9492,100.3543,76.53,90,66,3.65,light rain
92,East London,ZA,2022-01-29 21:02:33,-33.0153,27.9116,72.01,80,83,10.71,broken clouds
93,Pacific Grove,US,2022-01-29 21:04:20,36.6177,-121.9166,68.54,54,0,3.0,clear sky
94,Souillac,MU,2022-01-29 21:01:05,-20.5167,57.5167,79.36,74,100,12.35,overcast clouds
95,Kauhajoki,FI,2022-01-29 21:05:59,62.4333,22.1833,30.4,94,100,10.27,light snow
