City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Muriwai Beach,NZ,2022-01-28 16:06:46,-36.8167,174.45,63.39,86,0,5.17
68,Pathein,MM,2022-01-28 16:06:47,16.7833,94.7333,71.15,72,6,8.03
69,Alta Floresta,BR,2022-01-28 16:06:48,-9.8756,-56.0861,78.04,85,100,2.19
70,Arraial Do Cabo,BR,2022-01-28 16:06:49,-22.9661,-42.0278,82.26,74,40,9.22
71,Sumbawanga,TZ,2022-01-28 16:06:50,-7.9667,31.6167,61.79,92,100,3.58
72,Sandwick,GB,2022-01-28 16:04:12,60.0,-1.25,44.42,100,75,31.07
73,Khor,RU,2022-01-28 16:03:14,47.8861,134.9464,-3.8,98,99,8.41
74,Tiksi,RU,2022-01-28 16:06:53,71.6872,128.8694,-3.8,97,100,7.72
75,Codrington,AU,2022-01-28 16:06:53,-38.2667,141.9667,61.83,94,14,10.36
76,Bluff,NZ,2022-01-28 16:06:55,-46.6,168.3333,48.79,78,89,3.74
77,Atbasar,KZ,2022-01-28 16:06:56,51.8,68.3333,-0.36,91,74,7.61
78,Luwuk,ID,2022-01-28 16:04:03,-0.9516,122.7875,77.38,87,88,3.6
79,Hithadhoo,MV,2022-01-28 16:07:00,-0.6,73.0833,81.25,61,60,7.87
80,Vrangel,RU,2022-01-28 16:02:40,42.7297,133.0839,18.61,61,16,16.42
81,Cherskiy,RU,2022-01-28 16:07:01,68.75,161.3,-23.03,96,75,1.32
82,Barquisimeto,VE,2022-01-28 16:07:03,10.0739,-69.3228,85.75,41,46,3.24
83,Geraldton,AU,2022-01-28 16:07:04,-28.7667,114.6,75.13,78,12,10.36
84,Linjiang,CN,2022-01-28 16:04:23,41.8069,126.9078,3.27,96,77,2.55
85,Zhezkazgan,KZ,2022-01-28 16:07:05,47.8043,67.7144,11.25,80,99,14.45
86,Albany,US,2022-01-28 16:06:16,42.6001,-73.9662,31.75,61,100,2.8
87,Pacific Grove,US,2022-01-28 16:07:06,36.6177,-121.9166,55.54,46,0,1.01
88,Port Lincoln,AU,2022-01-28 16:07:07,-34.7333,135.8667,65.71,85,15,15.82
89,Saint-Philippe,RE,2022-01-28 16:07:09,-21.3585,55.7679,78.39,79,55,9.86
90,Qaanaaq,GL,2022-01-28 16:07:12,77.484,-69.3632,-7.55,69,95,8.39
91,Broome,US,2022-01-28 16:07:12,42.2506,-75.833,27.86,79,100,1.99
92,Walvis Bay,NA,2022-01-28 16:08:13,-22.9575,14.5053,68.09,72,3,20.02
93,Manaus,BR,2022-01-28 16:08:14,-3.1019,-60.025,81.1,89,75,2.3
94,Dikson,RU,2022-01-28 16:08:15,73.5069,80.5464,6.76,92,100,19.24
95,Manzanillo,CU,2022-01-28 16:04:51,20.3433,-77.1167,82.67,48,0,3.47
96,Thompson,CA,2022-01-28 16:08:17,55.7435,-97.8558,-16.04,94,36,4.83
97,Ponta Do Sol,PT,2022-01-28 16:08:18,32.6667,-17.1,66.7,70,21,9.84
98,Tuatapere,NZ,2022-01-28 16:08:19,-46.1333,167.6833,48.81,91,100,3.71
99,La Ronge,CA,2022-01-28 16:08:19,55.1001,-105.2842,2.64,93,100,5.75
100,Artesia,US,2022-01-28 16:08:21,33.8658,-118.0831,65.68,21,0,5.99
101,Sevierville,US,2022-01-28 16:08:23,35.8681,-83.5618,43.72,57,75,0.0
102,Port-Gentil,GA,2022-01-28 16:08:25,-0.7193,8.7815,81.32,78,55,10.0
103,East London,ZA,2022-01-28 16:08:25,-33.0153,27.9116,73.15,67,10,16.82
104,Kaitangata,NZ,2022-01-28 16:08:27,-46.2817,169.8464,48.24,95,50,4.32
105,Bredasdorp,ZA,2022-01-28 16:08:29,-34.5322,20.0403,71.28,53,9,12.77
106,Lata,PT,2022-01-28 16:08:30,40.1629,-8.3327,64.06,34,0,6.78
107,Savannah Bight,HN,2022-01-28 16:08:31,16.45,-85.85,82.45,69,6,5.97
108,Avera,US,2022-01-28 16:08:32,33.194,-82.5271,44.44,44,100,2.08
109,Dhidhdhoo,MV,2022-01-28 16:08:33,6.8833,73.1,81.79,71,15,19.84
110,Port Elizabeth,ZA,2022-01-28 16:08:33,-33.918,25.5701,76.1,71,16,16.84
111,Suhbaatar,MN,2022-01-28 16:08:34,50.2314,106.2078,-17.09,100,39,1.39
112,Chuy,UY,2022-01-28 16:08:35,-33.6971,-53.4616,71.85,56,55,9.71
113,Bethel,US,2022-01-28 16:08:35,41.3712,-73.414,33.03,73,100,4.61
114,Te Anau,NZ,2022-01-28 16:08:36,-45.4167,167.7167,48.78,93,84,1.77
115,Coihaique,CL,2022-01-28 16:08:38,-45.5752,-72.0662,81.21,22,0,6.91
116,Srednekolymsk,RU,2022-01-28 16:08:39,67.45,153.6833,-19.28,95,99,3.85
117,Makokou,GA,2022-01-28 16:08:40,0.5738,12.8642,93.7,23,17,1.52
118,Lakefield,US,2022-01-28 16:08:42,43.6775,-95.1717,7.29,84,0,0.0
119,Ahipara,NZ,2022-01-28 16:08:42,-35.1667,173.1667,60.1,82,28,7.36
120,Sabzevar,IR,2022-01-28 16:08:45,36.2126,57.6819,41.76,49,81,3.06
121,Guerrero Negro,MX,2022-01-28 16:08:46,27.9769,-114.0611,62.58,38,31,2.77
122,Langham,CA,2022-01-28 16:08:48,52.3668,-106.9679,5.02,100,100,4.68
123,Faanui,PF,2022-01-28 16:08:48,-16.4833,-151.75,81.16,74,8,17.49
124,Fortuna,US,2022-01-28 16:08:49,40.5982,-124.1573,36.52,93,0,12.66
125,Leningradskiy,RU,2022-01-28 16:08:51,69.3833,178.4167,-12.42,96,96,2.42
126,Talnakh,RU,2022-01-28 16:08:51,69.4865,88.3972,4.21,85,100,14.7
127,Sorland,NO,2022-01-28 16:08:55,67.667,12.6934,28.47,45,100,3.24
128,Sao Joao Da Barra,BR,2022-01-28 16:08:56,-21.6403,-41.0511,93.29,73,54,9.8
129,Ballina,AU,2022-01-28 16:08:57,-28.8667,153.5667,68.18,95,41,4.52
130,Georgetown,MY,2022-01-28 16:08:57,5.4112,100.3354,83.89,80,20,0.0
131,Aswan,EG,2022-01-28 16:09:02,24.0934,32.907,56.82,30,34,10.07
132,Longyearbyen,SJ,2022-01-28 16:09:04,78.2186,15.6401,12.04,67,0,14.97
133,Sobolevo,RU,2022-01-28 16:09:04,54.4299,31.8996,31.28,97,100,7.72
134,Axim,GH,2022-01-28 16:09:05,4.8699,-2.2405,86.58,57,73,11.9
135,Tautira,PF,2022-01-28 16:09:06,-17.7333,-149.15,75.22,76,56,15.39
136,New Norfolk,AU,2022-01-28 16:10:08,-42.7826,147.0587,63.66,70,99,1.48
137,Grand Gaube,MU,2022-01-28 16:10:10,-20.0064,57.6608,79.38,70,2,5.01
138,Puerto Ayora,EC,2022-01-28 16:10:10,-0.7393,-90.3518,80.56,72,98,6.53
139,Xining,CN,2022-01-28 16:10:11,36.6167,101.7667,12.33,81,26,1.25
140,Yellowknife,CA,2022-01-28 16:06:55,62.456,-114.3525,0.41,94,100,11.99
141,Lumut,MY,2022-01-28 16:10:12,4.2323,100.6298,80.1,78,62,2.95
142,Nampula,MZ,2022-01-28 16:10:15,-15.1165,39.2666,72.39,92,13,4.68
143,Shenjiamen,CN,2022-01-28 16:10:15,29.9576,122.298,41.86,94,100,18.1
144,Chiredzi,ZW,2022-01-28 16:08:32,-21.05,31.6667,83.34,56,97,7.02
145,Leh,IN,2022-01-28 16:10:16,34.1667,77.5833,-5.44,58,26,2.33
146,Petropavlovsk-Kamchatskiy,RU,2022-01-28 16:10:17,53.0452,158.6483,20.62,84,100,19.46
147,Benedita,PT,2022-01-28 16:10:18,39.4247,-8.97,63.97,41,5,7.0
148,Genhe,CN,2022-01-28 16:10:18,50.7833,121.5167,-17.77,99,44,3.47
149,Mahebourg,MU,2022-01-28 16:10:19,-20.4081,57.7,79.25,77,20,10.29
150,Kella,DE,2022-01-28 16:10:21,51.2333,10.0833,40.51,74,91,10.94
151,Kruisfontein,ZA,2022-01-28 16:10:22,-34.0033,24.7314,73.89,65,31,16.82
152,Marzuq,YE,2022-01-28 16:10:24,14.4,46.4667,71.15,30,83,5.06
153,Mount Gambier,AU,2022-01-28 16:10:24,-37.8333,140.7667,64.31,88,100,8.05
154,Cacequi,BR,2022-01-28 16:10:25,-29.8836,-54.825,85.44,28,12,12.66
